"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Afghanistan","Asia",1997,41.763,22227415,635.341351
"2","Albania","Europe",1997,72.95,3428038,3193.054604
"3","Algeria","Africa",1997,69.152,29072015,4797.295051
"4","Angola","Africa",1997,40.963,9875024,2277.140884
"5","Argentina","Americas",1997,73.275,36203463,10967.28195
"6","Australia","Oceania",1997,78.83,18565243,26997.93657
"7","Austria","Europe",1997,77.51,8069876,29095.92066
"8","Bahrain","Asia",1997,73.925,598561,20292.01679
"9","Bangladesh","Asia",1997,59.412,123315288,972.7700352
"10","Belgium","Europe",1997,77.53,10199787,27561.19663
"11","Benin","Africa",1997,54.777,6066080,1232.975292
"12","Bolivia","Americas",1997,62.05,7693188,3326.143191
"13","Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904
"14","Botswana","Africa",1997,52.556,1536536,8647.142313
"15","Brazil","Americas",1997,69.388,168546719,7957.980824
"16","Bulgaria","Europe",1997,70.32,8066057,5970.38876
"17","Burkina Faso","Africa",1997,50.324,10352843,946.2949618
"18","Burundi","Africa",1997,45.326,6121610,463.1151478
"19","Cambodia","Asia",1997,56.534,11782962,734.28517
"20","Cameroon","Africa",1997,52.199,14195809,1694.337469
"21","Canada","Americas",1997,78.61,30305843,28954.92589
"22","Central African Republic","Africa",1997,46.066,3696513,740.5063317
"23","Chad","Africa",1997,51.573,7562011,1004.961353
"24","Chile","Americas",1997,75.816,14599929,10118.05318
"25","China","Asia",1997,70.426,1230075000,2289.234136
"26","Colombia","Americas",1997,70.313,37657830,6117.361746
"27","Comoros","Africa",1997,60.66,527982,1173.618235
"28","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423
"29","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376
"30","Costa Rica","Americas",1997,77.26,3518107,6677.045314
"31","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407
"32","Croatia","Europe",1997,73.68,4444595,9875.604515
"33","Cuba","Americas",1997,76.151,10983007,5431.990415
"34","Czech Republic","Europe",1997,74.01,10300707,16048.51424
"35","Denmark","Europe",1997,76.11,5283663,29804.34567
"36","Djibouti","Africa",1997,53.157,417908,1895.016984
"37","Dominican Republic","Americas",1997,69.957,7992357,3614.101285
"38","Ecuador","Americas",1997,72.312,11911819,7429.455877
"39","Egypt","Africa",1997,67.217,66134291,4173.181797
"40","El Salvador","Americas",1997,69.535,5783439,5154.825496
"41","Equatorial Guinea","Africa",1997,48.245,439971,2814.480755
"42","Eritrea","Africa",1997,53.378,4058319,913.47079
"43","Ethiopia","Africa",1997,49.402,59861301,515.8894013
"44","Finland","Europe",1997,77.13,5134406,23723.9502
"45","France","Europe",1997,78.64,58623428,25889.78487
"46","Gabon","Africa",1997,60.461,1126189,14722.84188
"47","Gambia","Africa",1997,55.861,1235767,653.7301704
"48","Germany","Europe",1997,77.34,82011073,27788.88416
"49","Ghana","Africa",1997,58.556,18418288,1005.245812
"50","Greece","Europe",1997,77.869,10502372,18747.69814
"51","Guatemala","Americas",1997,66.322,9803875,4684.313807
"52","Guinea","Africa",1997,51.455,8048834,869.4497668
"53","Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681
"54","Haiti","Americas",1997,56.671,6913545,1341.726931
"55","Honduras","Americas",1997,67.659,5867957,3160.454906
"56","Hong Kong, China","Asia",1997,80,6495918,28377.63219
"57","Hungary","Europe",1997,71.04,10244684,11712.7768
"58","Iceland","Europe",1997,78.95,271192,28061.09966
"59","India","Asia",1997,61.765,959000000,1458.817442
"60","Indonesia","Asia",1997,66.041,199278000,3119.335603
"61","Iran","Asia",1997,68.042,63327987,8263.590301
"62","Iraq","Asia",1997,58.811,20775703,3076.239795
"63","Ireland","Europe",1997,76.122,3667233,24521.94713
"64","Israel","Asia",1997,78.269,5531387,20896.60924
"65","Italy","Europe",1997,78.82,57479469,24675.02446
"66","Jamaica","Americas",1997,72.262,2531311,7121.924704
"67","Japan","Asia",1997,80.69,125956499,28816.58499
"68","Jordan","Asia",1997,69.772,4526235,3645.379572
"69","Kenya","Africa",1997,54.407,28263827,1360.485021
"70","Korea, Dem. Rep.","Asia",1997,67.727,21585105,1690.756814
"71","Korea, Rep.","Asia",1997,74.647,46173816,15993.52796
"72","Kuwait","Asia",1997,76.156,1765345,40300.61996
"73","Lebanon","Asia",1997,70.265,3430388,8754.96385
"74","Lesotho","Africa",1997,55.558,1982823,1186.147994
"75","Liberia","Africa",1997,42.221,2200725,609.1739508
"76","Libya","Africa",1997,71.555,4759670,9467.446056
"77","Madagascar","Africa",1997,54.978,14165114,986.2958956
"78","Malawi","Africa",1997,47.495,10419991,692.2758103
"79","Malaysia","Asia",1997,71.938,20476091,10132.90964
"80","Mali","Africa",1997,49.903,9384984,790.2579846
"81","Mauritania","Africa",1997,60.43,2444741,1483.136136
"82","Mauritius","Africa",1997,70.736,1149818,7425.705295
"83","Mexico","Americas",1997,73.67,95895146,9767.29753
"84","Mongolia","Asia",1997,63.625,2494803,1902.2521
"85","Montenegro","Europe",1997,75.445,692651,6465.613349
"86","Morocco","Africa",1997,67.66,28529501,2982.101858
"87","Mozambique","Africa",1997,46.344,16603334,472.3460771
"88","Myanmar","Asia",1997,60.328,43247867,415
"89","Namibia","Africa",1997,58.909,1774766,3899.52426
"90","Nepal","Asia",1997,59.426,23001113,1010.892138
"91","Netherlands","Europe",1997,78.03,15604464,30246.13063
"92","New Zealand","Oceania",1997,77.55,3676187,21050.41377
"93","Nicaragua","Americas",1997,68.426,4609572,2253.023004
"94","Niger","Africa",1997,51.313,9666252,580.3052092
"95","Nigeria","Africa",1997,47.464,106207839,1624.941275
"96","Norway","Europe",1997,78.32,4405672,41283.16433
"97","Oman","Asia",1997,72.499,2283635,19702.05581
"98","Pakistan","Asia",1997,61.818,135564834,2049.350521
"99","Panama","Americas",1997,73.738,2734531,7113.692252
"100","Paraguay","Americas",1997,69.4,5154123,4247.400261
"101","Peru","Americas",1997,68.386,24748122,5838.347657
"102","Philippines","Asia",1997,68.564,75012988,2536.534925
"103","Poland","Europe",1997,72.75,38654957,10159.58368
"104","Portugal","Europe",1997,75.97,10156415,17641.03156
"105","Puerto Rico","Americas",1997,74.917,3759430,16999.4333
"106","Reunion","Africa",1997,74.772,684810,6071.941411
"107","Romania","Europe",1997,69.72,22562458,7346.547557
"108","Rwanda","Africa",1997,36.087,7212583,589.9445051
"109","Sao Tome and Principe","Africa",1997,63.306,145608,1339.076036
"110","Saudi Arabia","Asia",1997,70.533,21229759,20586.69019
"111","Senegal","Africa",1997,60.187,9535314,1392.368347
"112","Serbia","Europe",1997,72.232,10336594,7914.320304
"113","Sierra Leone","Africa",1997,39.897,4578212,574.6481576
"114","Singapore","Asia",1997,77.158,3802309,33519.4766
"115","Slovak Republic","Europe",1997,72.71,5383010,12126.23065
"116","Slovenia","Europe",1997,75.13,2011612,17161.10735
"117","Somalia","Africa",1997,43.795,6633514,930.5964284
"118","South Africa","Africa",1997,60.236,42835005,7479.188244
"119","Spain","Europe",1997,78.77,39855442,20445.29896
"120","Sri Lanka","Asia",1997,70.457,18698655,2664.477257
"121","Sudan","Africa",1997,55.373,32160729,1632.210764
"122","Swaziland","Africa",1997,54.289,1054486,3876.76846
"123","Sweden","Europe",1997,79.39,8897619,25266.59499
"124","Switzerland","Europe",1997,79.37,7193761,32135.32301
"125","Syria","Asia",1997,71.527,15081016,4014.238972
"126","Taiwan","Asia",1997,75.25,21628605,20206.82098
"127","Tanzania","Africa",1997,48.466,30686889,789.1862231
"128","Thailand","Asia",1997,67.521,60216677,5852.625497
"129","Togo","Africa",1997,58.39,4320890,982.2869243
"130","Trinidad and Tobago","Americas",1997,69.465,1138101,8792.573126
"131","Tunisia","Africa",1997,71.973,9231669,4876.798614
"132","Turkey","Europe",1997,68.835,63047647,6601.429915
"133","Uganda","Africa",1997,44.578,21210254,816.559081
